text,label,split
science based targets freshwater land biodiversity ocean targets nature positive 2030 corporate sustainability reporting directive csrd european standards esrs disclosure,1,train
responsible minerals sourcing oecd due diligence conflict affected high risk areas,1,val
awareness programmes chain partners training dealers suppliers covered stewardship quality safety eco-friendly sustainable design innovation energy consumption efficiency intensity deployment net zero strategy,0,train
event management conference seminar workshop registration delegate speaker tourist visa application documents embassy appointment fee interview approval painting exhibition gallery artist medium canvas acrylic oil watercolour sculpture,2,train
hotel booking check-in checkout breakfast included pool gym spa policy train ticket reservation seat berth coach class platform arrival departure grocery list milk bread eggs vegetables cereals cooking oil snacks,2,train
ngrbc nine principles indicators leadership compliance transparency accountability principle businesses conduct govern integrity ethical transparent anti-bribery principle goods services sustainable safe extended producer responsibility lifecycle impact,0,train
principle 5 rights diligence child labour forced labour posh sexual harassment prevention 6 energy consumption ghg scope scope 2 intensity renewable principle 7 public regulatory policy transparent responsible associations advocacy,0,train
social media post trending hashtag likes engagement content share political speech promises economic growth jobs infrastructure healthcare education research paper methodology results discussion conclusion references peer journal,2,train
disclosures grievances pending resolution remarks financial year overview material responsible business conduct environmental social risk opportunity table awareness programmes board directors employees workers percentage coverage,0,train
specific commitments goals timelines renewable energy targets fy 2026 2027 2029 2030 esg workshops value chain partners training sessions nine principles percentage spend governance leadership oversight business responsibility challenges,0,train
supply chain due diligence code of conduct esg assessment business spend water neutrality target zero landfill ghg reduction renewable energy percentage workforce equity inclusion posh policy zero complaints investigations,0,train
flight booking seat selection baggage allowance preference check-in boarding gym membership pricing personal class schedule locker room parking gardening tips seasonal planting watering pruning fertiliser pest control,2,train
principle 4 stakeholder communities investors dealers responsive human rights diligence child labour forced labour posh harassment prevention,0,train
principle 6 energy ghg scope scope 2 intensity renewable principle 7 public regulatory transparent responsible trade industry associations advocacy,0,train
stakeholder materiality assessment double materiality financial impact outside-in green building leed igbc platinum certification energy water conservation sustainable,1,train
turnover permanent employees workers financial year male female total percentage holding subsidiary companies shares held business responsibility csr details applicable turnover net worth section 135 companies csr committee spend,0,train
gym diet plan protein carbohydrate fat calorie intake muscle building weight loss amusement park ride ticket combo family package height restriction safety rules,2,val
material responsible business conduct environmental social risk opportunity table training programmes board employees percentage coverage fines penalties punishment compounding fees amount regulatory,0,train
shipping label sender recipient weight dimensions fragile handle care customs birthday party invitation cake games goodie bags venue rsvp,2,train
ngo volunteer service fundraising beneficiary word definition pronunciation etymology synonym antonym usage sentence driving licence renewal test,2,train
travel itinerary flight hotel reservation sightseeing tourist attractions local cuisine sports championship final score winning team player statistics league tournament,2,train
governance leadership oversight statement director business responsibility challenges board committee decision making sustainability issues plant corporate level,0,train
swimming pool membership adult child timing lane width depth temperature chlorine nursery plant seeds sapling fertiliser pot soil mix drainage sunlight watering,2,val
deforestation free supply chain palm oil soy beef timber responsible policy ocean plastics pollution extended producer recycling infrastructure,1,train
net zero aligned financial institution paris pledge portfolio decarbonisation target year,1,val
related party transactions purchases sales loans advances investments percentage total payable trading dealers distributors concentration sales percentage,0,train
blood camp donor health check criteria hospital language learning vocabulary grammar practice listening speaking electrician carpenter handyman charges hourly emergency contact,2,train
course certification module quiz assignment completion deadline platform password reset click link enter new password confirm verification email notification,2,train
painting exhibition gallery canvas acrylic oil watercolour sculpture charity donation ngo volunteer community service beneficiary dictionary word definition etymology synonym antonym usage sentence,2,train
training awareness programmes board directors kmp workers percentage coverage fines penalties punishment compounding fees settlement proceedings regulatory,0,train
ration card family certificate food grain entitlement property registration stamp duty circle rate sub-registrar scholarship application academic income institution recommendation,2,train
weather app notification rain alert wind advisory temperature change hourly news feed algorithm trending topic engagement click-through rate impressions,2,val
water physical regulatory reputational scarcity flood contamination watershed transition plan 2030 2040 2050 milestones interim targets accountability annual,1,train
safety 45001 coverage hira identification risk safety incidents ltifr lost time injury frequency recordable fatalities high consequence,0,train
gardening tips seasonal planting watering pruning fertiliser pest soil pet veterinary vaccination flea tick worming grooming diet nutrition wedding venue catering photographer florist list invitation seating,2,train
ocean plastics marine pollution extended producer responsibility recycling infrastructure sustainable packaging bio-based compostable recyclable design lightweighting reuse refill,1,train
fines penalties punishment compounding fees settlement amount proceedings regulatory r&d capital expenditure technologies environmental social impacts total investments percentage,0,train
event management workshop registration delegate speaker sponsor tourist visa application documents embassy fee interview approval,2,train
subscription streaming service shows episodes seasons watch list recommend bank transaction history balance debit atm withdrawal deposit,2,train
key management personnel board directors remuneration median wages male female workers brsr mandatory filing sebi regulation 34 annual report section c performance disclosures national international codes certifications iso bis bee ce fm star rating,0,train
r&d expenditure technologies social total investments percentage sustainable sourcing procedures inputs sourced sustainably percentage value audit life cycle assessment lca manufacturing boundary cradle gate independent agency,0,train
notification cfd-sec-2 brsr core parameters reasonable assurance boundary section a disclosures corporate identity number cin bse nse stock exchange,0,train
product guide safety troubleshooting faq technical specifications social media post trending hashtag likes comments followers viral content share,2,train
update version bug fixes improvements user interface enhancements changelog meeting agenda project kickoff discussion milestones stakeholders action,2,train
emissions nox sox particulate matter volatile organic compounds mt per year measurements ghg greenhouse gas scope 1 2 metric tonnes co2 business responsibility and sustainability report brsr mandatory disclosure listed,0,train
car rental self-drive chauffeur duration pickup drop fuel unlimited kilometres water tanker booking capacity litres delivery area charges emergency residential,2,val
section b management process disclosures ngrbc principles policy procedures value chain related transactions sales loans advances investments percentage total accounts payable trading dealers distributors concentration purchases sales percentage,0,train
stakeholder materiality assessment double materiality financial impact outside-in green igbc platinum certification energy efficiency water conservation sustainable,1,train
bakery cake order flavour fondant custom design delivery advance booking library membership book issue fine renewal reservation reading,2,train
gym diet plan protein carbohydrate fat calorie intake muscle building weight loss amusement park ride ticket combo family package height restriction safety rules,2,val
train ticket reservation seat berth coach class status platform arrival departure grocery bread eggs butter vegetables fruits cereals snacks subscription streaming movies shows seasons watch list recommend,2,train
carbon neutrality net 2050 climate change scope 3 emissions value chain decarbonization sustainable development goals sdgs united nations 2030 inclusive growth communities,1,train
passport application form birth certificate photograph fee appointment travel ration card family members income certificate address food entitlement property registration duty circle rate document verification,2,train
responsible minerals sourcing oecd due diligence conflict affected high risk areas,1,val
protocol scope 1 3 inventory verification party assurance limited reasonable waste management hazardous non-hazardous co-processing incineration diversion,1,train
job posting required skills python javascript product manual installation guide safety warnings technical specifications,2,train
consumption fuel gj turnover ppp withdrawal surface party consumption intensity kilolitres turnover,0,train
performance career development employees workers total percentage year health safety management iso 45001 hira hazard risk assessment,0,train
sustainability annual integrated combined assurance verification independent auditor energy intensity gj tonne production renewable fraction purchased certificates,1,train
emission factor grid electricity renewable energy attribute certificate calculation stakeholder consultation material topics process identification significance ranking,1,val
remuneration salary wages median board directors kmp employees male female wages females percentage total wages financial year comparison previous year posh complaints sexual harassment discrimination child labour forced wages pending,0,train
human rights labour conditions due diligence training value fairness corporate governance transparency accountability board oversight stakeholders rules listing obligations disclosure requirements regulation materiality fines penalties,0,train
principle 9 consumer data privacy cyber security product recalls complaints net worth csr section companies act 2013 standalone,0,train
principle 3 employee wellbeing permanent workers health insurance accident insurance maternity principle 4 interests communities investors dealers employees responsive principle 5 human due diligence child labour posh harassment prevention,0,train
provider reasonable sebi notification listed entity core indicators grievance redressal mechanism communities investors shareholders employees workers dealers material issues esg risk opportunity financial implications positive negative mitigation,0,train
cooking step preparation garnish plating serving suggestion chef book summary plot themes author edition publisher review technology review camera battery performance benchmark comparison price,2,train
national codes certifications iso bis bee ce fm ul star rating products specific goals timelines energy fy 2026 2029 2030 esg workshops value chain partners training ngrbc nine principles percentage spend,0,train
carbon neutrality zero 2050 climate scope emissions value chain decarbonization sustainable development goals sdgs united 2030 agenda inclusive growth communities,1,train
csr details applicable turnover net section 135 companies act csr committee spend transparency disclosures compliance grievances resolution remarks financial year,0,train
academic transcript course credits semester gpa dean list graduation restaurant menu appetizers main dessert beverage price chef special promotion vehicle service schedule oil tyre rotation inspection filter,2,train
catering order menu items quantity serving non-vegetarian buffet bouquet arrangement occasion message card same day express,2,train
just energy transition partnership coal phase developing countries finance support green hydrogen renewable energy carrier fuel cells electrolysis decarbonise hard-to-abate,1,val
climate smart agriculture regenerative farming soil carbon sequestration food water nexus digital ai machine learning resource optimisation predictive maintenance responsible investment integration engagement voting exclusion screening,1,train
cobalt mica lithium responsible sourcing traceability chain custody smelter water risk physical regulatory reputational stress scarcity flood contamination transition plan 2030 2040 2050 milestones interim targets accountability governance annual,1,train
scholarship application academic merit income institution recommendation blood donation camp voluntary donor health check eligibility criteria,2,train
sustainable packaging bio-based compostable recyclable design lightweighting reuse refill wage fair wage supply chain workers minimum benchmark methodology audit certification,1,train
electricity bill units consumed tariff rate fixed charges surcharge due payment newspaper article headline journalist reporter editor publication date byline column test blood sugar cholesterol haemoglobin creatinine report normal range,2,train
energy saved improved efficiency renewable sources total production consumption reduction,0,val
slavery act transparency supply chain forced indicators flags board climate training literacy scenario analysis oversight strategy integration,1,train
sustainable finance green bonds esg-linked loans bonds framework second opinion tnfd nature taskforce biodiversity nature positive strategy ecosystem,1,train
environmental compliance water act air act environment protection applicable laws india,0,val
waste management hazardous non-hazardous recycling incineration landfill diversion sustainability code of conduct assessment corrective action plan improvement programme,1,train
accounts houses dealers concentration purchases sales percentage compounding fee adjudication order companies act registrar fine ngrbc principle annual report integrated sustainability statutory reports financial statements corporate overview,0,train
modern slavery act reporting supply chain forced labour indicators climate competence training literacy scenario analysis oversight strategy integration integrated reporting framework capitals providers investors connectivity,1,train
employee wellbeing health insurance accident maternity paternity day facilities worker wellbeing permanent coverage percentage benefits spending retirement benefits pf gratuity esi national pension scheme deducted deposited authority,0,train
sustainable development finance taxonomy classification eligible activities criteria,1,val
supply chain management due supplier code of conduct esg assessment business spend water neutrality target zero waste landfill ghg scope reduction renewable energy percentage,0,train
social media post trending likes comments engagement viral content share political speech campaign promises economic growth jobs infrastructure healthcare education research methodology results discussion conclusion references peer reviewed journal,2,train
worker wellbeing permanent coverage benefits spending revenue retirement benefits pf gratuity esi pension scheme deducted deposited authority accessibility differently rights persons act premises workstations,0,train
safety incidents ltifr lost time injury rate recordable fatalities high consequence corrective safety significant risks working conditions health,0,train
employee workers other than permanent male female differently abled categories turnover rate permanent employees workers financial year male female total percentage,0,train
corrective actions incidents significant risks working conditions health stakeholder groups entity frequency engagement channels communication purpose scope,0,train
health safety management iso 45001 coverage hira hazard identification risk assessment safety incidents ltifr time injury rate recordable fatalities consequence,0,train
principle 1 conduct govern integrity ethical transparent accountable anti-bribery policy principle 2 goods services sustainable safe producer responsibility lifecycle impact principle 3 employee wellbeing permanent workers health insurance accident maternity,0,train
policy premium coverage exclusion claim procedure beneficiary instruction parts screws bolts allen key diagram step component flight booking seat selection baggage allowance meal preference check-in boarding,2,train
impact weighted accounts true cost accounting natural capital externalities valuation,1,val
principle 4 stakeholder communities investors suppliers dealers employees responsive principle human rights diligence child labour labour posh sexual harassment prevention principle 6 environment energy consumption ghg scope scope emissions intensity renewable,0,train
application credit score income verification collateral interest rate emi app update new features bug fixes battery optimised download store,2,train
school curriculum syllabus examination grade promotion admission fees timetable concert ticket venue date support act backstage pass,2,train
wedding planning venue catering photographer florist guest invitation seating tax return deductions refund assessment year form income,2,train
carbon neutrality net zero 2050 climate change scope 3 emissions value decarbonization sustainable development goals united nations inclusive growth communities environmental impact assessment lifecycle cradle to gate product carbon footprint lca,1,train
environmental management iso 14001 audit nonconformities corrective action improvement management iso 50001 energy review baseline indicators targets quality management system iso 9001 satisfaction continual improvement process audit,1,train
corrective actions safety significant risks working conditions health practices stakeholder groups entity frequency engagement channels scope,0,train
carbon price internal decarbonisation capex investment decisions climate action scope 3 categories downstream purchased goods services capital business travel waste,1,train
a general disclosures corporate number paid-up capital bse nse exchange ngrbc nine principles leadership compliance transparency,0,train
emissions intensity metric tonnes co2 equivalent per revenue unit product scope combined packaging reduction virgin content post-consumer pcr epr compliance filing,1,train
job creation small towns wages rural semi-urban urban metropolitan rbi classification,0,val
retirement benefits pf esi national pension scheme deducted deposited accessibility differently abled persons disabilities act premises offices workstations,0,train
compounding fee adjudication order companies act registrar fine ngrbc annual report integrated sustainability statutory reports financial statements corporate overview,0,train
climate resilience adaptation mitigation physical risk chronic transition regulatory market community development education skills rural infrastructure csr investment employee training learning upskilling reskilling capability building performance,1,train
business responsibility and sustainability report brsr sebi mandatory disclosure listed entity sebi notification cfd-sec-2 brsr core parameters reasonable assurance standalone reporting boundary,0,train
climate finance adaptation mitigation developing countries loss damage fund agreement global reporting initiative standards report environmental social governance,1,train
compounding fee adjudication order companies act registrar fine ngrbc principle annual report sustainability statutory reports financial statements corporate overview supply chain management diligence supplier of conduct assessment business,0,train
science based targets freshwater targets nature positive 2030 sustainability reporting directive european esrs disclosure transition credibility alignment paris agreement sector decarbonisation pathway,1,train
employee wellbeing health insurance insurance paternity care facilities worker wellbeing permanent coverage percentage benefits spending revenue retirement benefits pf gratuity esi national pension scheme deducted deposited,0,train
sebi obligations disclosure requirements regulation materiality fines penalties manufacturing fluid equipment percentage code products services sold number plants offices national headquarters,0,train
3 employee wellbeing permanent workers health insurance accident maternity principle 4 stakeholder interests communities suppliers dealers employees responsive human rights due diligence child labour forced labour posh sexual harassment prevention,0,train
sports championship final score winning team player statistics league standings tournament weather sunny partly cloudy temperature humidity wind speed precipitation outlook,2,train
dear customer your order has been shipped number estimated delivery business days software update version bug fixes performance improvements user enhancements changelog meeting agenda project kickoff discussion timeline milestones stakeholders action items,2,train
gym membership schedule locker room parking sauna gardening tips seasonal planting watering pruning pest soil pet veterinary appointment vaccination flea tick worming grooming diet,2,train
agriculture regenerative farming soil carbon food digital sustainability ai learning efficiency resource predictive maintenance,1,train
consumption intensity deployment net zero strategy emissions risk ghg government export reduction furnace replacement safety 45001 plants safety controls employee sensitisation training,0,train
health safety management iso coverage hira hazard identification risk assessment safety incidents ltifr lost injury rate fatalities high consequence,0,train
subscription streaming service movies episodes seasons watch list recommend statement transaction balance debit credit atm withdrawal deposit electricity units consumed tariff rate fixed charges surcharge due date payment,2,train
transparency disclosures compliance grievances pending remarks year overview responsible business conduct environmental social risk opportunity,0,train
quality management system iso 9001 customer satisfaction continual improvement audit carbon footprint product service organizational boundary scope methodology water footprint blue green grey scarcity weighting watershed level,1,train
air emissions nox sox particulate matter volatile organic compounds mt per year ghg greenhouse gas scope 1 scope 2 metric tonnes equivalent intensity physical output,0,train
home kitchen remodel upgrade flooring quote medical prescription dosage frequency drug interaction side patient pharmacist,2,train
research development sustainable products services circular revenue green sustainable finance esg-linked loans sustainability bonds framework opinion tnfd nature taskforce biodiversity risks nature positive strategy ecosystem restoration,1,train
impact assessment community engagement csr beneficiaries vulnerable marginalised upliftment employee wellbeing mental health work life balance diversity inclusion gender pay equity human rights due diligence modern slavery child forced labour supply chain,1,train
conflict interest board directors declaration annually code of conduct compliance awareness programmes partners training sessions dealers suppliers covered,0,train
employee workers permanent other than permanent male female differently abled categories turnover rate permanent employees workers financial year female total percentage holding subsidiary associate companies joint ventures shares held business responsibility,0,train
climate scenario analysis 1.5c 4c physical transition risks opportunities resilience deforestation free chain palm oil soy sourcing policy,1,train
assurance provider reasonable assurance sebi listed indicators grievance redressal mechanism communities investors shareholders employees workers suppliers dealers,0,train
online shopping cart checkout payment credit card billing address confirmation news article breaking witnesses emergency services response investigation,2,train
data breaches instances percentage personally identifiable information customers impact water discharged surface groundwater third party treatment zero liquid discharge plants,0,val
human rights due diligence modern slavery child labour labour supply chain audit vendors stakeholder engagement materiality assessment double materiality financial impact outside-in,1,train
principle environment energy consumption ghg scope 1 scope 2 emissions renewable 7 public regulatory policy transparent trade industry associations,0,train
employee wellbeing health work life diversity inclusion gender pay human rights due diligence modern slavery child labour forced labour supply chain vendors stakeholder materiality assessment double materiality financial impact outside-in,1,train
integrated reporting capitals investors materiality connectivity voluntary market integrity high quality removal reduction nature technology credit science based targets freshwater land ocean targets nature positive 2030,1,train
net zero aligned financial institution paris pledge portfolio decarbonisation target year biodiversity positive strategy ipbes species area relationship habitat connectivity,1,val
grievance redressal mechanism communities investors employees workers suppliers dealers material issues esg financial implications positive negative rationale mitigation sustainability committee corporate level board directors esg initiatives review,0,train
material issues esg risk opportunity financial implications negative rationale mitigation committee corporate level cmd board directors esg initiatives review compliance monitoring statutory rectification notification,0,train
plastic packaging reduction virgin content epr compliance filing medical surveillance audiometry pre-employment periodic fitness wellbeing gender diversity women pipeline succession sponsorship programme,1,train
medical dosage frequency drug interaction side effects patient pharmacist real estate listing bedroom bathroom square feet amenities price academic transcript grades course credits gpa dean graduation,2,train
dictionary word pronunciation etymology antonym sentence driving licence renewal form documents fees test transport authority registration,2,train
cable television dth channel package recharge subscription monthly payment plan,2,val
sustainable procurement policy criteria lifecycle thinking total cost ownership assessment land use change deforestation restoration biodiversity net gain offset compensation,1,val
global reporting initiative gri standards sustainability report environmental carbon neutrality net zero 2050 climate change scope 3 emissions value chain decarbonization,1,train
responsible raw materials conflict minerals sustainable forestry fair rainforest task force climate financial disclosures risks opportunities scenario,1,train
employee wellbeing mental health work life balance diversity inclusion gender pay equity wellness human rights due diligence modern slavery child labour forced supply chain audit vendors,1,train
science based targets sbti 1.5 degree pathway absolute emissions reduction committed verified esg rating msci sustainalytics a-list water climate change forests disclosure,1,train
water tanker booking capacity litres delivery area charges emergency residential laundry service pickup delivery dry cleaning ironing stain removal charges kg,2,val
board independence committee composition nomination remuneration audit oversight ghg reduction projects furnace replacement renewable ppa open access solar wind power,0,val
furniture catalogue sofa bed wardrobe table chair dimensions material finish mobile gaming leaderboard score rank achievement badge clan guild multiplayer,2,val
flight booking selection baggage meal preference check-in boarding gym membership pricing personal trainer class schedule locker room parking sauna gardening tips seasonal watering pruning fertiliser pest control,2,train
water withdrawal groundwater surface third consumption intensity turnover air emissions nox sox particulate volatile organic compounds mt year measurements,0,train
visa application documents embassy appointment fee interview approval exhibition gallery artist medium canvas acrylic oil watercolour sculpture charity donation volunteer community beneficiary impact,2,train
loan application credit score income verification collateral interest rate emi mobile app update new bug fixes improved optimised store,2,train
turnover worth csr applicable section 135 act 2013 standalone financial statements assurance provider reasonable assurance sebi notification listed entity brsr core indicators,0,train
stakeholder consultation material topics process identification significance ranking,1,val
transition finance alignment paris agreement sector decarbonisation pathway capital valuation ecosystem services accounting wealth inclusive green economy climate finance mitigation countries loss damage fund cop agreement,1,train
stakeholder groups entity frequency engagement channels communication scope wages paid employees workers equal more than wage permanent than remuneration salary wages median board kmp employees workers male,0,train
streaming platform recommendation algorithm watch history genre preference rating,2,val
anti-corruption bribery zero tolerance transparent accountable disciplinary fraud conflict interest board directors declaration annually code of conduct compliance awareness programmes partners training sessions dealers covered,0,train
energy management system iso 50001 energy baseline performance indicators quality management system iso 9001 continual improvement process audit,1,train
corporate governance accountability board oversight stakeholders rules sebi listing obligations disclosure requirements regulation materiality fines penalties,0,train
7 public regulatory policy transparent responsible trade industry associations advocacy principle 8 inclusive growth equitable development social impact assessment communities principle 9 consumer value responsible data privacy cyber security product recalls complaints,0,train
community development education healthcare skills rural infrastructure investment employee training learning development reskilling capability building performance safety ltifr lost time injury frequency recordable incidents near miss fatalities consequence,1,train
music playlist favourite songs artist album genre pop rock jazz classical shuffle fitness routine workout exercise sets repetitions rest interval calories heart rate,2,train
job posting software required python javascript react experience preferred product manual installation safety warnings faq technical social media post trending hashtag likes comments followers engagement viral content share,2,train
assessments offices forced labour wages discrimination energy consumption non-renewable electricity fuel gj turnover ppp,0,train
r&d capital expenditure environmental social impacts investments percentage sustainable sourcing procedures inputs sourced sustainably percentage value chain,0,train
voluntary carbon market integrity high removal reduction science based targets freshwater land biodiversity ocean targets nature positive 2030,1,train
tnfd nature taskforce biodiversity risks nature positive ecosystem restoration social equity carbon economy workers communities fossil fuel phase down,1,train
board committee decision making sustainability plant corporate level reporting ngrbcs committee board frequency annually yearly quarterly monthly basis,0,train
anti-corruption compliance whistleblower ethics hotline speak up culture code business conduct annual integrated combined assurance external verification independent auditor,1,train
climate scenario analysis 2c 4c physical transition risks opportunities resilience free supply palm soy beef timber sourcing policy ocean plastics marine pollution extended producer responsibility recycling infrastructure,1,train
prescription dosage frequency drug interaction side effects patient pharmacist real estate listing bathroom square feet amenities neighbourhood asking,2,train
green building leed igbc certification energy efficiency water conservation sustainable sourcing raw conflict sustainable forestry fair trade rainforest,1,train
corrective action ongoing address safety risks significant working conditions practices supply chain sustainability esg compliance suppliers dealers annual assessment percentage,0,val
accounts payable trading houses dealers distributors concentration purchases sales percentage compounding fee order companies act penalty fine ngrbc annual integrated sustainability statutory reports financial corporate,0,train
esg data provider ratings methodology controversy screening norms-based screening,1,val
academic transcript grades credits semester gpa dean list graduation certificate restaurant menu appetizers dessert price chef special promotion,2,train
podcast episode interview discussion download subscribe review rating interior design colour scheme furniture layout accent wall lighting fixture minimalist course certification module assignment completion deadline platform,2,train
news article breaking event location witnesses emergency services investigation music favourite songs artist album pop rock jazz classical shuffle,2,train
